ID NODO | ID WAY | Nombre | latitud | longitud 
1970455150 | 26215672 | Aconcagua | -32.9220735 | -68.8467402
1102523503 | 26215673 | Lencinas | -32.883664 | -68.8616783
1941520042 | 26215673 | Lencinas | -32.8834868 | -68.8626481
1102523367 | 26215673 | Lencinas | -32.8828338 | -68.8662213
304370997 | 27717271 | Sin Nombre | -32.8936395 | -68.8306648
3733043454 | 27717271 | Sin Nombre | -32.8937757 | -68.8306312
304371041 | 27717271 | Sin Nombre | -32.8939295 | -68.8305937
1420271173 | 27717271 | Sin Nombre | -32.8940005 | -68.8304984
3733043457 | 27717271 | Sin Nombre | -32.8941289 | -68.829876
1420271564 | 27717271 | Sin Nombre | -32.8942429 | -68.8293482
1100447013 | 27717271 | Sin Nombre | -32.8941782 | -68.82922429999999
322745563 | 29338216 | Mariano Boedo | -32.9823581 | -68.8597844
1278594928 | 29338216 | Mariano Boedo | -32.9825924 | -68.8587469
1278595222 | 29338216 | Mariano Boedo | -32.9826841 | -68.858335
1278595305 | 29338216 | Mariano Boedo | -32.9827705 | -68.8579472
1278594956 | 29338216 | Mariano Boedo | -32.9829226 | -68.857264
1278595045 | 29338216 | Mariano Boedo | -32.9830823 | -68.8565468
1278595139 | 29338216 | Mariano Boedo | -32.9833244 | -68.8553691
2497459307 | 29338216 | Mariano Boedo | -32.9835895 | -68.8540283
1278595013 | 29338216 | Mariano Boedo | -32.9836354 | -68.8537959
2497459308 | 29338216 | Mariano Boedo | -32.9836605 | -68.853669
2800172052 | 29338216 | Mariano Boedo | -32.9838852 | -68.8524337
2800172053 | 29338216 | Mariano Boedo | -32.9839189 | -68.8522466
1278595220 | 29338216 | Mariano Boedo | -32.9840446 | -68.8515606
322745566 | 29338216 | Mariano Boedo | -32.9844306 | -68.8499444
322745624 | 29338220 | Italia | -32.9868276 | -68.8821375
1831081419 | 29338220 | Italia | -32.986536 | -68.8818064
322745604 | 29338220 | Italia | -32.9863681 | -68.8816248
322745626 | 29338221 | Larrea | -32.988333 | -68.8847677
322745628 | 29338221 | Larrea | -32.988503 | -68.8843152
1091682017 | 34110554 | Sin Nombre | -32.8976476 | -68.8209934
1098603274 | 34110554 | Sin Nombre | -32.8977395 | -68.8204111
1098603363 | 34110554 | Sin Nombre | -32.897835 | -68.8201125
458912846 | 34110554 | Sin Nombre | -32.8979917 | -68.8198575
458912847 | 34110554 | Sin Nombre | -32.8982606 | -68.8196513
458912848 | 34110554 | Sin Nombre | -32.8987629 | -68.8195185
286994786 | 34110554 | Sin Nombre | -32.8999281 | -68.8194728
1224522814 | 34110556 | Juan Agustín Maza | -32.9794978 | -68.7962708
4478168605 | 34110556 | Juan Agustín Maza | -32.97934 | -68.7962069
391005329 | 34110556 | Juan Agustín Maza | -32.9790375 | -68.7960843
1087125027 | 34110556 | Juan Agustín Maza | -32.9784422 | -68.7958182
1286606597 | 34110556 | Juan Agustín Maza | -32.9766317 | -68.7951461
1144146141 | 34110556 | Juan Agustín Maza | -32.9744876 | -68.7943315
4478168606 | 34110556 | Juan Agustín Maza | -32.974195 | -68.7941817
1286655490 | 34110556 | Juan Agustín Maza | -32.9740669 | -68.7941162
1286656008 | 34110559 | Ozamis | -32.9599763 | -68.7836531
1286655462 | 34110559 | Ozamis | -32.9607379 | -68.7838826
1286655962 | 34110559 | Ozamis | -32.961682 | -68.7841505
2239182917 | 34110559 | Ozamis | -32.9620177 | -68.7842478
1286655897 | 34110559 | Ozamis | -32.9623412 | -68.7843515
2239182929 | 34110559 | Ozamis | -32.9626586 | -68.784433
1286655972 | 34110559 | Ozamis | -32.9634548 | -68.7845998
2239182968 | 34110559 | Ozamis | -32.9639181 | -68.7847373
1286655866 | 34110559 | Ozamis | -32.9646781 | -68.7849612
1286655626 | 34110559 | Ozamis | -32.9657664 | -68.785286
1286655860 | 34110559 | Ozamis | -32.9669356 | -68.7856001
1286656023 | 34110559 | Ozamis | -32.9681807 | -68.785949
1286655734 | 34110559 | Ozamis | -32.9694148 | -68.7862879
1286655478 | 34110559 | Ozamis | -32.9706887 | -68.7866582
1286655811 | 34110559 | Ozamis | -32.9718951 | -68.787
1286655440 | 34110559 | Ozamis | -32.9720644 | -68.7870617
4678623947 | 34110559 | Ozamis | -32.9732927 | -68.787433
1286655617 | 34110559 | Ozamis | -32.9747647 | -68.7878468
4678581302 | 34110559 | Ozamis | -32.975099 | -68.7879408
1286655418 | 34110559 | Ozamis | -32.975504 | -68.7880546
1086742625 | 37430505 | Belgrano | -32.8930434 | -68.8510027
1086779950 | 37430505 | Belgrano | -32.8934315 | -68.8511136
437560041 | 37430674 | Eusebio Blanco | -32.8812608 | -68.8369795
3600846884 | 37430674 | Eusebio Blanco | -32.8812161 | -68.8375249
3600846883 | 37430674 | Eusebio Blanco | -32.8812101 | -68.837598
480890288 | 37430674 | Eusebio Blanco | -32.8811516 | -68.8383119
1086062893 | 37430677 | Vendimiadores | -32.8776658 | -68.8412548
286025589 | 37430677 | Vendimiadores | -32.87765 | -68.8414
1941519943 | 37430677 | Vendimiadores | -32.8776164 | -68.8416621
1941519942 | 37430677 | Vendimiadores | -32.8775978 | -68.8418798
286068442 | 37430677 | Vendimiadores | -32.8775563 | -68.8426304
1941519936 | 37430677 | Vendimiadores | -32.8775319 | -68.8429573
1132431343 | 37430677 | Vendimiadores | -32.8775018 | -68.8432719
437560068 | 37430680 | Juan Agustín Maza | -32.8786621 | -68.8362857
437560047 | 37430680 | Juan Agustín Maza | -32.8785399 | -68.8376349
437560073 | 37430682 | Sin Nombre | -32.8792087 | -68.8268263
3731216388 | 37430682 | Sin Nombre | -32.8792032 | -68.8269067
437560087 | 37430684 | Urquiza | -32.8814487 | -68.8296525
480890227 | 37430684 | Urquiza | -32.8813703 | -68.8310398
480890206 | 37430684 | Urquiza | -32.8812722 | -68.8324406
480890179 | 37430684 | Urquiza | -32.8811741 | -68.8338267
623936685 | 37430684 | Urquiza | -32.8810773 | -68.8351949
1418202917 | 37430684 | Urquiza | -32.8809768 | -68.8366166
437560082 | 37430684 | Urquiza | -32.8809564 | -68.836898
890729108 | 37431379 | San Juan | -32.904052 | -68.8421449
1941660515 | 37431379 | San Juan | -32.9036688 | -68.8420916
1814822491 | 37431379 | San Juan | -32.9035591 | -68.8420763
1091672906 | 37431379 | San Juan | -32.9025999 | -68.8417413
1091672931 | 37431379 | San Juan | -32.9015533 | -68.8408069
437562116 | 37431380 | Primitivo de la Reta | -32.8920638 | -68.8382022
437562113 | 37431380 | Primitivo de la Reta | -32.8908464 | -68.8382942
1130920357 | 37953562 | Paraguay | -32.8664898 | -68.8254018
445782808 | 37953562 | Paraguay | -32.8665632 | -68.825409
1132334439 | 37953562 | Paraguay | -32.8671843 | -68.8254703
1132334496 | 37953562 | Paraguay | -32.8678753 | -68.8255384
1132334415 | 37953562 | Paraguay | -32.8686979 | -68.8256195
1132334435 | 37953562 | Paraguay | -32.8689568 | -68.8256451
1132334444 | 37953562 | Paraguay | -32.8694763 | -68.8256982
1132334395 | 37953562 | Paraguay | -32.8701668 | -68.8257652
583617102 | 37953562 | Paraguay | -32.8712052 | -68.8258668
1132334452 | 37953562 | Paraguay | -32.8721576 | -68.8259621
1132334521 | 37953562 | Paraguay | -32.8732754 | -68.8260713
1132334470 | 37953562 | Paraguay | -32.8743461 | -68.8261729
1132334393 | 37953562 | Paraguay | -32.8755819 | -68.8262984
1091682018 | 38717378 | Sin Nombre | -32.8962752 | -68.8337009
3588215705 | 38717378 | Sin Nombre | -32.8963172 | -68.8334005
676748185 | 39239232 | Espejo | -32.8895636 | -68.839156
676748167 | 39239232 | Espejo | -32.889329599999996 | -68.8404322
287040821 | 39239232 | Espejo | -32.8891023 | -68.8416695
287040820 | 39239232 | Espejo | -32.8888741 | -68.8429166
287040724 | 39239250 | Lavalle | -32.8885145 | -68.838881
1091465850 | 39239250 | Lavalle | -32.8885928 | -68.8369838
1091465839 | 39239250 | Lavalle | -32.8886504 | -68.8355883
1091465825 | 39239250 | Lavalle | -32.888704 | -68.8342895
